TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,34036,34036,1,Rio Mequens,Rio Mequens,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,1075.530101,1084.30230858,Not Applicable,0,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RO,BRA,BRA
Polygon,352514,352514,1,Nonoai/Rio da Várzea,Nonoai/Rio da Várzea,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,164.154443,164.745279369,Not Applicable,0,Designated,2003,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-RS,BRA,BRA
Polygon,352364,352364,1,Aripuanã,Aripuanã,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,7506.49265,7536.19360267,Not Applicable,0,Designated,1994,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-MT,BRA,BRA
Polygon,352262,352262,1,Balaio,Balaio,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,2572.814601,2587.7109085,Not Applicable,0,Designated,2009,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA
Polygon,115539,115539,1,Kanamari do Rio Juruá,Kanamari do Rio Juruá,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,5964.3364,6056.83611799,Not Applicable,0,Designated,2002,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA
Polygon,115418,115418,1,Tenharim do Igarapé Preto,Tenharim do Igarapé Preto,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,874.131478,861.38893014,Not Applicable,0,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AM,BRA,BRA
Polygon,352460,352460,1,Pilad Rebuá,Pilad Rebuá,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,2.083702,2.17893409416,Not Applicable,0,Designated,1993,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-MS,BRA,BRA
Polygon,67817,67817,1,Lagoa do Peixe,Lagoa do Peixe,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(v),0,0,0,344,231.112418254,Not Applicable,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-RS,BRA,BRA
Polygon,352401,352401,1,Córrego João Pereira,Córrego João Pereira,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,31.623901,31.8563439784,Not Applicable,0,Designated,2006,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-CE,BRA,BRA
Polygon,352273,352273,1,Jaminaua/Envira,Jaminaua/Envira,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,806.181798,810.919610508,Not Applicable,0,Designated,2003,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AC,BRA,BRA
Polygon,94063,94063,1,Ilha do Bananal,Ilha do Bananal,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (iii) (vii),0,0,0,5623.12,5927.92230803,Not Applicable,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,BR-TO,BRA,BRA
Polygon,94064,94064,1,Reentrancias Maranhenses,Reentrancias Maranhenses,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (iii) (iv) (v) (vii) (viii),1,0,16901.239515,26809.11,26332.3480724,Not Reported,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,Not Reported,BRA,BRA
Polygon,352482,352482,1,Dourados,Dourados,Reserva Indígena,Indigenous Reserve,National,Not Reported,Not Applicable,0,0,0,34.745957,34.6201258311,Not Applicable,0,Designated,1966,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-MS,BRA,BRA
Polygon,352396,352396,1,Badjonkore,Badjonkore,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,2219.816373,2235.20917588,Not Applicable,0,Designated,2004,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-PA,BRA,BRA
Polygon,34004,34004,1,Kayapó,Kayapó,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,32840.049719,33047.351583,Not Applicable,0,Designated,1989,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-PA,BRA,BRA
Polygon,33812,33812,1,Waiãpi,Waiãpi,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,0,0,0,6070.172404,6086.0670667,Not Applicable,0,Designated,1997,Indigenous peoples,Not Reported,Not Reported,Not Reported,State Verified,905,BR-AP,BRA,BRA
Polygon,555542777,555542777,1,"Reserva Particular del Patrimonio Natural (RPPN) “Fazenda Rio Negro""","Reserva Particular del Patrimonio Natural (RPPN) “Fazenda Rio Negro""","Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (iii) (iv),0,0,0,70,70.3426568246,Not Applicable,0,Designated,2009,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,BR-MS,BRA,BRA
Polygon,555542778,555542778,1,Rio Doce State Park,Rio Doce State Park,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (iii),0,0,0,359.73,361.849120447,Not Applicable,0,Designated,2010,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-MG,BRA,BRA
Polygon,67816,67816,1,Pantanal Matogrossense,Pantanal Matogrossense,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (iii) (vii),0,0,0,1350,918.708933061,Not Applicable,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is not implented and not available,State Verified,1856,BR-MT,BRA,BRA
Polygon,95320,95320,1,Mamirauá,Mamirauá,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (iii) (iv) (v) (vii) (viii),0,0,0,11240,11551.4993567,Not Applicable,0,Designated,1993,Not Reported,Not Reported,Not Reported,Management plan is implented and available,State Verified,1856,BR-AM,BRA,BRA
Polygon,555624190,555624190,1,Atol das Rocas Biological Reserve,Atol das Rocas Biological Reserve,"Ramsar Site, Wetland of International Importance","Ramsar Site, Wetland of International Importance",International,Not Reported,(i) (ii) (iii) (iv) (v) (vi) (vii) (viii),1,0,351.8641,351.8641,354.217684622,Not Reported,0,Designated,2015,Not Reported,Not Reported,Not Reported,https://rsis.ramsar.org/ris/2259,State Verified,1856,Not Reported,BRA,BRA
