binomial,legend,SHAPE_Leng,SHAPE_Area
Noblella madreselva,Extant (resident),0.103266406778,0.00084857942424
Hyloscirtus pantostictus,Extant (resident),0.217950485925,0.00328184238284
Atelopus simulatus,Extant (resident),1.89611068139,0.0201738265141
Leptodactylus magistris,Extant (resident),0.196664420966,0.00291415325452
Atelopus simulatus,Extant (resident),0.73594509246,0.0268185352474
Pristimantis reclusas,Extant (resident),0.264417377852,0.00489955987277
Rhaebo olallai,Extant (resident),0.0567036944318,0.000173126701197
Atelopus pedimarmoratus,Extant (resident),0.101692954476,0.000822916715512
Atelopus glyphus,Extant (resident),0.785797010496,0.0274987764536
Hyloxalus ruizi,Extant (resident),0.287331124676,0.00656968364085
Pristimantis xylochobates,Extant (resident),0.15586942167,0.00134528101602
Atelopus petersi,Extant (resident),4.82988169064,0.591762890902
Telmatobius culeus,Extant (resident),4.97350872047,1.47139904789
Pristimantis jaimei,Extant (resident),0.102692004821,0.000839165315784
Microkayla boettgeri,Extant (resident),0.10303481292,0.00084477750228
Nymphargus mixomaculatus,Extant (resident),0.0379583218866,0.000114646678682
Pristimantis mars,Extant (resident),0.101813474033,0.000824868400905
Atelopus pinangoi,Extant (resident),0.254958715057,0.00385168808791
Mannophryne caquetio,Extant (resident),0.469564144901,0.00687886606884
Telmatobius ventriflavum,Extant (resident),0.307705126377,0.00043783241021
Atelopus chrysocorallus,Extant (resident),0.270034136411,0.00542503225343
Telmatobius fronteriensis,Extant (resident),0.108398377614,0.000935019436547
Pristimantis cosnipatae,Extant (resident),0.191372239541,0.00238559513723
Atelopus mucubajiensis,Extant (resident),0.369032309921,0.00734831326494
Bolitoglossa capitana,Extant (resident),0.348495331756,0.00966435870868
Oreobates zongoensis,Extant (resident),0.130685558963,0.00135904648238
Scinax alcatraz,Extant (resident),0.0733800940439,0.000212490671823
Agalychnis lemur,Extant (resident),10.0649410483,0.762338221831
Melanophryniscus admirabilis,Extant (resident),0.141297450192,0.000900018178492
Colostethus jacobuspetersi,Extant (resident),6.90823241504,0.407574985445
Pristimantis hamiotae,Extant (resident),0.0564785532205,0.000185134078207
Pristimantis kelephus,Extant (resident),0.196553395617,0.002178894386
Atelopus pyrodactylus,Extant (resident),0.104023619406,0.000861069866275
Nymphargus anomalus,Extant (resident),0.109197242812,0.000948860694389
Pristimantis diogenes,Extant (resident),0.101472152758,0.00081934686208
