BINOMIAL,LEGEND
Mergus octosetaceus,Extant (resident)
Phylloscartes ceciliae,Extant (resident)
Antilophia bokermanni,Extant (resident)
Calyptura cristata,Extant (resident)
Nemosia rourei,Extant (resident)
Oxypogon cyanolaemus,Extant (resident)
Lepidopyga lilliae,Extant (resident)
Pauxi unicornis,Extant (resident)
Merulaxis stresemanni,Extant (resident)
Coeligena orina,Extant (resident)
Anodorhynchus glaucus,Extant (resident)
Eriocnemis nigrivestis,Extant (resident)
Glaucidium mooreorum,Extant (resident)
Synallaxis maranonica,Extant (resident)
Geospiza heliobates,Extant (resident)
Eriocnemis isabellae,Extant (resident)
Philydor novaesi,Extant (resident)
Cinclodes aricomae,Extant (resident)
Synallaxis kollari,Extant (resident)
Eulidia yarrellii,Extant (resident)
Psophia obscura,Extant (resident)
Ara rubrogenys,Extant (resident)
Pauxi koepckeae,Extant (resident)
Ara glaucogularis,Extant (resident)
Crax alberti,Extant (resident)
Myrmotherula snowi,Extant (resident)
Phoebastria irrorata,Extant (resident)
Crax pinima,Extant (resident)
Lipaugus weberi,Extant (resident)
Podiceps taczanowskii,Extant (resident)
Geospiza pauper,Extant (resident)
Cercomacra carbonaria,Extant (resident)
Columbina cyanopis,Extant (resident)
Hapalopsittaca fuertesi,Extant (resident)
Terenura sicki,Extant (resident)
Grallaria chthonia,Extant (resident)
Anodorhynchus hyacinthinus,Extant (resident)
Formicivora paludicola,Extant (resident)
Sephanoides fernandensis,Extant (resident)
