BINOMIAL,LEGEND
Antilophia bokermanni,Possibly Extant (resident)
Calyptura cristata,Possibly Extant (resident)
Nemosia rourei,Possibly Extant (resident)
Pauxi unicornis,Possibly Extant (resident)
Merulaxis stresemanni,Possibly Extant (resident)
Coeligena orina,Possibly Extant (resident)
Cinclodes aricomae,Possibly Extant (resident)
Eulidia yarrellii,Possibly Extant (resident)
Ara rubrogenys,Possibly Extant (resident)
Crax alberti,Possibly Extant (resident)
Cercomacra carbonaria,Possibly Extant (resident)
Columbina cyanopis,Possibly Extant (resident)
Anodorhynchus hyacinthinus,Possibly Extant (resident)
