NAME,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,ISO3
La Calera,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2009,Federal or national ministry or agency,ARG
Mbotaby,Ecological Reserve,National,VI,Not Applicable,Designated,1991,Not Reported,ARG
La Loca,Nature Reserve,National,VI,Not Applicable,Designated,1969,Not Reported,ARG
Pichi Mahuida,Nature Reserve,National,VI,Not Applicable,Designated,1974,Sub-national ministry or agency,ARG
Loro Hablador,Provincial Reserve,National,IV,Not Applicable,Designated,1998,Not Reported,ARG
Isla de Las Damas,Municipal Nature Reserve,National,VI,Not Applicable,Designated,2006,Not Reported,ARG
Isla Del Cerrito,Provincial Park,National,IV,Not Applicable,Designated,2004,Not Reported,ARG
Potrero de Yala,Provincial Park,National,II,Not Applicable,Designated,1952,Sub-national ministry or agency,ARG
Los Diques,Provincial Reserve,National,VI,Not Applicable,Designated,1983,Not Reported,ARG
Cerro Azul,Multiple Use Reserve,National,VI,Not Applicable,Designated,1992,Not Reported,ARG
Salto Encantado Valle Ao. Cuña Piru,Provincial Park,National,II,Not Applicable,Designated,1991,Sub-national ministry or agency,ARG
Santa Maria del Aguaray mini,Private Reserve,National,VI,Not Applicable,Designated,1999,Not Reported,ARG
"Lote ""C"" Huerto Municipal",Municipal Nature Park,National,VI,Not Applicable,Designated,1995,Not Reported,ARG
Esperanza,Provincial Park,National,II,Not Applicable,Designated,1989,Sub-national ministry or agency,ARG
Paraje los Indios,Municipal Nature Park,National,II,Not Applicable,Designated,1989,Not Reported,ARG
Amado Bonpland,Municipal Nature Park,National,II,Not Applicable,Designated,1989,Not Reported,ARG
Aguaray-mí,Private Reserve,National,VI,Not Applicable,Designated,1988,Not Reported,ARG
Los Sosa,Nature Reserve,National,VI,Not Applicable,Designated,1940,Sub-national ministry or agency,ARG
Islote Muicipal Curupi,Municipal Reserve,National,VI,Not Applicable,Designated,1995,Not Reported,ARG
Islas de Victoria,Multiple Use Nature Reserve,National,VI,Not Applicable,Designated,2003,Not Reported,ARG
Puerto Dalmacia,Fisheries Reserve,National,VI,Not Applicable,Designated,1967,Not Reported,ARG
Timbó Gigante,Private Refuge,National,Ia,Not Applicable,Designated,1995,Not Reported,ARG
Itacuarahy,Private Refuge,National,VI,Not Applicable,Designated,1989,Not Reported,ARG
Chancay,Private Wildlife Refuge,National,VI,Not Applicable,Designated,1991,Not Reported,ARG
Bahía Laura,Intangible Nature Reserve,National,IV,Not Applicable,Designated,1977,Sub-national ministry or agency,ARG
Boca de la Laguna Herradura,Fisheries Reserve,National,VI,Not Applicable,Designated,1967,Not Reported,ARG
Isla Pinguinos,Provincial Reserve,National,VI,Not Applicable,Designated,1992,Sub-national ministry or agency,ARG
Los Alerces National Park,World Heritage Site (natural or mixed),International,II,(vii)(x),Inscribed,2017,Federal or national ministry or agency,ARG
San Guillermo - Zona núcleo,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1980,Federal or national ministry or agency,ARG
San Guillermo - Zona de amortiguamiento,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1980,Federal or national ministry or agency,ARG
Los Glaciares,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Los Glaciares,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Traslasierra,National Park,National,II,Not Applicable,Designated,2018,Federal or national ministry or agency,ARG
Monte Loayza,Provincial Reserve,National,Not Reported,Not Applicable,Designated,2004,Sub-national ministry or agency,ARG
Lagunas de San Vicente,Municipal Nature Reserve,National,Not Reported,Not Applicable,Designated,1998,Not Reported,ARG
Andino Norpatagónica,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2007,Not Reported,ARG
Parque Atlántico Mar Chiquito,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1996,Not Reported,ARG
Tomo,Private Reserve,National,VI,Not Applicable,Designated,1997,Not Reported,ARG
Parque Costero del Sur,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1984,Not Reported,ARG
Delta del Parana,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2000,Not Reported,ARG
Laguna Oca del Rio Paraguay,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2001,Not Reported,ARG
Laguna Blanca,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1982,Not Reported,ARG
Ñacuñan,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1986,Not Reported,ARG
Yarará,Municipal Nature Park,National,VI,Not Applicable,Designated,1995,Not Reported,ARG
Pereyra Iraola,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2007,Not Reported,ARG
Riacho Teuquito,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1995,Not Reported,ARG
Valdés,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2014,Not Reported,ARG
Yabotí,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,1995,Not Reported,ARG
Las Yungas,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2002,Not Reported,ARG
Patagonia Azul,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,Designated,2015,Not Reported,ARG
Copo,National Park,National,II,Not Applicable,Designated,2000,Federal or national ministry or agency,ARG
Laguna Brava,Provincial Refuge,National,IV,Not Applicable,Designated,1980,Sub-national ministry or agency,ARG
Namuncurá - Banco Burdwood,Marine Protected Area,National,Not Reported,Not Applicable,Designated,2013,Federal or national ministry or agency,ARG
Iberá - Laguna Iberá,National Reserve,National,VI,Not Applicable,Proposed,0,Federal or national ministry or agency,ARG
Colonia Benítez,Educational Nature Reserve,National,Ia,Not Applicable,Designated,1990,Federal or national ministry or agency,ARG
Florencio de Basaldua,Nature Monument,National,VI,Not Applicable,Designated,1996,Sub-national ministry or agency,ARG
El Paraíso,Private Reserve,National,VI,Not Applicable,Designated,1998,Not Reported,ARG
Ingeniero Agrónomo Roberto Cametti,Provincial Park,National,II,Not Applicable,Designated,2001,Not Reported,ARG
Iberá - Núcleo Carambola,National Reserve,National,VI,Not Applicable,Proposed,0,Federal or national ministry or agency,ARG
Laguna Salada Grande,Forest Reserve,National,VI,Not Applicable,Designated,2000,Sub-national ministry or agency,ARG
Chasico,Nature Reserve of Define Objects,National,IV,Not Applicable,Designated,1999,Not Reported,ARG
Laguna de los Pozuelos,Nature Monument,National,III,Not Applicable,Designated,1980,Federal or national ministry or agency,ARG
Formosa,Nature Reserve,National,Ia,Not Applicable,Designated,1968,Federal or national ministry or agency,ARG
Lanín,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Los Alerces,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Calilegua,National Park,National,II,Not Applicable,Designated,1979,Federal or national ministry or agency,ARG
Río Pilcomayo,National Park,National,II,Not Applicable,Designated,1951,Federal or national ministry or agency,ARG
Iguazú,National Park,National,II,Not Applicable,Designated,1934,Federal or national ministry or agency,ARG
El Rey,National Park,National,II,Not Applicable,Designated,1948,Federal or national ministry or agency,ARG
Lago Puelo,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Chaco,National Park,National,II,Not Applicable,Designated,1954,Federal or national ministry or agency,ARG
Laguna Blanca,National Park,National,II,Not Applicable,Designated,1940,Federal or national ministry or agency,ARG
Lihué Calel,National Park,National,II,Not Applicable,Designated,1976,Federal or national ministry or agency,ARG
El Palmar,National Park,National,II,Not Applicable,Designated,1966,Federal or national ministry or agency,ARG
Cabo Blanco,Intangible Nature Reserve,National,IV,Not Applicable,Designated,1977,Sub-national ministry or agency,ARG
Los Arrayanes,National Park,National,II,Not Applicable,Designated,1971,Federal or national ministry or agency,ARG
Perito Moreno,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Bosques Petrificados,Nature Monument,National,III,Not Applicable,Designated,1954,Federal or national ministry or agency,ARG
Nahuel Huapi,National Park,National,II,Not Applicable,Designated,1934,Federal or national ministry or agency,ARG
Lanín,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
El Leoncito,National Park,National,II,Not Applicable,Designated,2002,Federal or national ministry or agency,ARG
Iguazú,National Reserve,National,VI,Not Applicable,Designated,1934,Federal or national ministry or agency,ARG
Sierra de las Quijadas,National Park,National,II,Not Applicable,Designated,1991,Federal or national ministry or agency,ARG
San Antonio,Strict Nature Reserve,National,Ia,Not Applicable,Designated,1990,Federal or national ministry or agency,ARG
Quebrada del Condorito,National Park,National,II,Not Applicable,Designated,1996,Federal or national ministry or agency,ARG
Isla de Los Estados,Wilderness Nature Reserve,National,Ib,Not Applicable,Designated,2016,Federal or national ministry or agency,ARG
Talampaya,National Park,National,II,Not Applicable,Designated,1997,Federal or national ministry or agency,ARG
Otamendi,Nature Reserve,National,Ia,Not Applicable,Designated,1990,Federal or national ministry or agency,ARG
Laguna Blanca,National Reserve,National,VI,Not Applicable,Designated,1940,Federal or national ministry or agency,ARG
Los Alerces,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Nahuel Huapi,National Reserve,National,VI,Not Applicable,Designated,1934,Federal or national ministry or agency,ARG
Perito Moreno,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Campo de los Alisos,National Park,National,II,Not Applicable,Designated,1995,Federal or national ministry or agency,ARG
Mburucuyá,National Park,National,II,Not Applicable,Designated,2002,Federal or national ministry or agency,ARG
Monte León,National Reserve,National,VI,Not Applicable,Designated,2004,Federal or national ministry or agency,ARG
Puerto Península,Nature Reserve of Defense,National,Not Reported,Not Applicable,Designated,2008,Federal or national ministry or agency,ARG
Pre-Delta,National Park,National,II,Not Applicable,Designated,1992,Federal or national ministry or agency,ARG
Piñalito,Provincial Park,National,II,Not Applicable,Designated,1993,Sub-national ministry or agency,ARG
Los Cardones,National Park,National,II,Not Applicable,Designated,1996,Federal or national ministry or agency,ARG
Lago Puelo,National Reserve,National,VI,Not Applicable,Designated,1937,Federal or national ministry or agency,ARG
Monte León,National Park,National,II,Not Applicable,Designated,2004,Federal or national ministry or agency,ARG
Patagonia Austral,Interjurisdictional Coastal Marine Park,National,Not Reported,Not Applicable,Designated,2009,Federal or national ministry or agency,ARG
Isla Pingüino,Interjurisdictional Marine Park,National,Not Reported,Not Applicable,Designated,2012,Federal or national ministry or agency,ARG
